1,1,0.50024,1,2,18,51.875
2,2,0.75038,1,2,21,67.5
3,1,0.38352,2,1,20,42.5
4,2,0.63357,1,2,20,73.75
5,1,0.58357,1,2,21,48.75
6,1,0.48355,2,1,20,58.125
7,1,0.53355,1,2,22,64.375
8,1,0.38352,2,1,21,42.5
9,2,0.43352,1,2,18,76.875
10,2,0.85029,2,1,22,80
11,2,0.41687,1,2,21,70.625
12,2,0.967,2,1,18,61.25
13,1,0.6836,2,1,22,64.375
14,1,0.45019,2,1,21,64.375
15,1,0.51689,2,1,18,39.375
16,2,0.65023,1,2,18,36.25
17,1,0.76696,1,2,19,33.125
18,1,0.51672,2,1,18,51.875
19,1,0.51687,2,1,22,36.25
20,2,0.45021,2,1,19,80
21,2,0.4502,1,2,19,70.625
22,1,0.56691,2,1,19,48.75
23,2,0.46695,2,1,18,55
24,2,0.38351,1,2,20,80
25,1,0.86697,2,1,20,30
26,1,0.63369,2,1,22,73.75
27,1,0.61691,2,1,19,51.875
28,2,0.46699,2,1,19,55
29,1,0.60035,1,2,21,45.625
30,2,0.43365,1,2,21,61.25
31,1,0.5003,1,2,20,30
32,1,0.46698,1,2,22,36.25
33,1,0.96701,1,2,19,76.875
34,1,0.96699,1,2,22,39.375
35,2,0.96701,1,2,21,55
36,1,0.46698,2,1,20,45.625
37,1,0.93366,1,2,19,45.625
38,2,0.70038,1,2,20,76.875
39,1,0.43353,2,1,22,58.125
40,1,0.7336,1,2,21,48.75
41,2,0.58358,2,1,19,70.625
42,1,0.56689,2,1,18,42.5
43,2,0.66693,1,2,18,73.75
44,2,0.70033,1,2,21,73.75
45,1,0.43366,2,1,20,33.125
46,1,0.48356,2,1,18,30
47,2,1.0004,1,2,21,80
48,2,0.5169,1,2,21,73.75
49,2,0.60024,1,2,21,67.5
50,2,0.53357,1,2,19,76.875
51,2,0.4336,1,2,22,70.625
52,2,0.46689,2,1,18,67.5
53,1,0.50031,2,1,21,30
54,1,0.48354,2,1,18,48.75
55,1,0.46692,2,1,20,36.25
56,1,0.40026,2,1,22,30
57,2,0.58357,1,2,20,64.375
58,2,0.667,1,2,20,51.875
59,2,0.53357,1,2,19,67.5
60,2,0.48351,1,2,19,61.25
61,2,0.76695,1,2,20,58.125
62,1,0.46687,2,1,22,33.125
63,1,0.4336,2,1,22,42.5
64,1,0.4502,1,2,19,45.625
65,1,1.0003,2,1,18,33.125
66,2,0.58355,2,1,18,58.125
67,1,0.70036,1,2,22,39.375
68,2,0.63366,2,1,19,61.25
69,1,0.63366,2,1,22,55
70,1,0.90024,2,1,20,39.375
