131,27.5,260,65,221,75,0,0.00010808,120
131,27.5,260,65,221,75,1,0.56699,120
121,22.5,245,62.5,282,53,3,0.71696,119
131,27.5,255,65,217,75,1,1.0003,118
141,22.5,245,67.5,306,51,3,0.75034,117
126,22.5,240,62.5,95,28,1,0.8337,116
121,25,250,62.5,115,26,1,0.78368,115
126,25,240,67.5,158,19,3,0.96713,114
121,22.5,240,62.5,151,17,2,0.83372,113
136,25,250,67.5,238,71,2,0.81706,112
136,27.5,260,67.5,102,34,1,0.88373,111
126,22.5,245,62.5,158,17,2,0.8504,110
126,27.5,245,67.5,184,84,1,1.0004,109
136,22.5,240,67.5,156,19,3,0.63363,108
126,25,245,65,257,62,1,0.85034,107
121,27.5,245,65,257,62,3,0.63363,106
136,25,255,65,156,21,0,4.811e-06,105
136,25,255,65,156,21,3,0.9171,105
121,25,240,65,115,26,2,0.567,104
131,22.5,245,65,151,19,2,1.0004,103
141,27.5,260,67.5,325,51,1,0.85034,102
131,22.5,240,65,300,49,2,0.80035,101
141,25,250,67.5,288,57,1,0.88381,100
121,27.5,240,67.5,115,29,1,0.81705,99
141,22.5,255,65,268,62,1,0.95039,98
136,22.5,250,65,213,75,1,0.70031,97
126,27.5,260,62.5,247,66,2,0.71702,96
141,25,255,67.5,176,19,1,0.80042,95
131,27.5,250,67.5,213,78,2,0.48363,94
136,27.5,255,67.5,217,78,2,0.83365,93
131,25,245,67.5,282,57,3,0.53367,92
136,22.5,255,62.5,116,26,0,4.4901e-06,91
136,22.5,255,62.5,116,26,1,0.80041,91
121,25,245,62.5,151,19,3,0.9504,90
121,27.5,255,62.5,191,78,1,0.45034,89
126,22.5,240,65,180,81,2,0.61696,88
136,27.5,260,65,116,32,1,0.86707,87
126,25,240,67.5,107,29,2,1.0004,86
121,27.5,245,65,184,81,0,4.8109e-06,85
121,27.5,245,65,184,81,1,0.53364,85
131,22.5,250,62.5,313,47,1,0.63365,84
141,27.5,260,67.5,247,71,3,0.88361,83
131,27.5,250,67.5,288,57,3,0.71701,82
126,22.5,240,62.5,228,66,1,0.55032,81
126,25,240,67.5,120,26,1,0.63368,80
121,27.5,255,62.5,242,66,2,0.71697,79
121,27.5,245,65,103,32,0,3.2072e-06,78
121,27.5,245,65,103,32,2,0.9504,78
131,25,245,67.5,138,24,3,0.7337,77
131,22.5,250,62.5,263,59,2,0.66699,76
131,22.5,245,65,208,75,2,0.55031,75
136,25,250,67.5,213,78,2,0.5336,74
136,22.5,255,62.5,191,78,0,4.8109e-06,73
136,22.5,255,62.5,191,78,1,0.5503,73
131,25,255,62.5,111,29,2,0.81705,72
126,27.5,245,67.5,145,23,2,0.85039,71
121,27.5,240,67.5,151,21,2,0.70031,70
131,22.5,240,65,124,24,2,0.617,69
121,25,245,62.5,91,31,2,0.73363,68
131,27.5,255,65,164,21,2,0.75037,67
141,22.5,255,65,120,26,2,0.56701,66
141,22.5,260,62.5,273,59,0,4.4901e-06,65
141,22.5,260,62.5,273,59,2,0.56697,65
131,27.5,255,65,319,49,2,0.80038,64
131,25,250,65,288,55,2,0.8837,63
136,22.5,250,65,143,21,3,0.71702,62
136,25,250,67.5,143,24,1,1.0004,61
126,25,245,65,95,31,1,0.56692,60
131,27.5,250,67.5,188,84,2,1.0004,59
126,25,250,62.5,145,21,2,0.85039,58
141,25,255,67.5,268,64,2,0.60033,57
141,22.5,245,67.5,306,51,2,0.71707,56
141,25,250,67.5,313,51,3,0.8004,55
126,27.5,250,65,213,75,1,0.81707,54
121,25,250,62.5,263,59,1,1.0004,53
131,22.5,240,65,98,28,1,0.65032,52
121,22.5,240,62.5,204,72,0,4.4901e-06,51
121,22.5,240,62.5,204,72,1,0.68369,51
126,27.5,245,67.5,282,57,1,1.0005,50
141,22.5,260,62.5,106,28,2,0.7837,49
136,25,260,62.5,325,47,2,0.93376,48
136,27.5,260,67.5,170,21,1,0.81703,47
121,22.5,240,62.5,252,59,2,0.73368,46
