1,2,0.98468,1,2,3,21,75,48,30,27.3,97.5,3,3,3
2,3,1.001,2,3,1,18,65,45,25,23.4,84.5,3,2,3
3,1,1.0163,2,1,3,18,70,45,25,58.5,32.5,1,3,3
4,1,0.80219,1,3,2,21,65,46,30,52.9,34.5,1,3,2
5,1,0.6356,1,2,3,20,75,48,30,19,71.25,4,3,1
6,1,0.68129,2,3,1,18,70,44,30,46.2,31.5,1,3,1
7,2,1.0021,1,3,2,20,70,46,30,32.2,21,2,3,3
8,1,0.78457,1,2,3,19,70,46,25,39.1,21.25,2,3,2
9,3,0.66637,1,2,3,19,75,46,30,24.7,97.5,3,2,3
10,2,0.68771,2,3,1,18,75,47,25,39.95,21.25,2,1,2
11,2,1.0164,3,2,1,18,65,45,25,58.5,32.5,1,3,3
12,3,0.74961,1,3,2,19,75,46,30,52.9,34.5,1,1,2
13,3,0.78299,1,2,3,20,75,48,30,50.4,31.5,1,1,1
14,3,0.81891,3,1,2,20,70,47,25,17,59.5,4,2,2
15,2,0.59969,3,2,1,19,75,48,25,45.6,23.75,2,3,1
16,1,0.53714,3,1,2,18,75,44,35,15.3,63.75,4,2,2
17,1,0.64964,1,2,3,19,75,45,35,47.25,36.75,1,3,1
18,1,0.73305,1,3,2,19,75,45,35,16.15,63.75,4,3,2
19,1,0.76863,2,3,1,20,65,44,30,46.2,31.5,1,3,1
20,2,0.81635,2,3,1,22,75,47,35,39.95,29.75,2,3,2
21,2,1.001,2,1,3,18,70,44,30,12.6,49,4,3,3
22,2,0.66636,1,3,2,20,75,46,35,21,78.75,3,3,1
23,2,0.75092,2,1,3,21,65,47,25,44.65,23.75,2,1,1
24,2,0.76895,3,1,2,20,70,46,30,21,73.5,3,3,1
25,2,1.0225,2,3,1,21,70,48,25,27.3,91,3,3,3
26,1,0.55104,1,2,3,21,75,48,35,40.8,29.75,2,3,2
27,3,1.0344,3,1,2,22,70,46,35,23.1,73.5,3,2,1
28,2,0.9176,3,1,2,18,70,46,25,18.9,73.5,3,1,1
29,2,0.81627,2,1,3,21,75,48,30,62.4,39,1,3,3
30,2,0.65078,1,3,2,21,65,47,25,22.05,68.25,3,3,1
31,2,0.96834,3,2,1,21,65,44,35,41.8,33.25,2,3,1
32,3,0.80707,3,2,1,20,70,45,35,58.5,45.5,1,2,3
33,1,0.7342,3,1,2,18,70,46,25,15.3,59.5,4,3,2
34,3,1.0009,3,2,1,21,70,47,30,24.15,80.5,3,2,2
35,1,0.66764,3,1,2,20,65,44,30,50.6,34.5,1,3,2
36,2,0.90045,2,1,3,21,70,47,30,44.65,28.5,2,3,1
37,2,1.0017,2,3,1,22,70,48,30,20.9,66.5,4,3,1
38,2,0.80217,2,3,1,21,75,48,35,40.8,29.75,2,3,2
39,2,1.001,1,2,3,22,70,47,35,49.35,36.75,1,3,1
40,1,1.0022,3,2,1,20,65,45,30,42.75,28.5,2,3,1
41,2,0.84846,3,2,1,21,65,46,30,59.8,39,1,3,3
42,2,0.71768,3,2,1,19,70,45,30,13.3,49,4,3,3
