176.56,248,1,0.46755
134.78,252,0,1.2006e-05
134.78,252,2,0.46691
160.89,263,1,0.83441
181.78,228,0,3.4909e-06
181.78,228,1,0.46876
124.33,274,2,0.49973
171.33,258,1,0.61639
93,235,2,0.50247
113.89,265,1,0.60114
176.56,255,1,0.48316
145.22,231,2,0.66774
140,241,1,0.46782
171.33,234,1,0.43294
176.56,237,1,0.60089
171.33,244,1,0.58298
124.33,266,2,0.86769
134.78,246,1,0.58547
160.89,275,1,0.58562
108.67,256,2,0.51776
150.44,272,1,0.63307
145.22,232,1,0.54965
98.222,258,2,0.5843
166.11,227,1,0.70099
103.44,234,2,0.46794
181.78,251,1,0.46769
124.33,230,1,0.81673
150.44,262,1,1.001
103.44,226,2,0.55056
140,239,1,0.63421
93,267,2,0.49965
129.56,225,1,0.66895
187,270,1,0.53562
187,245,1,0.552
166.11,260,1,0.4855
113.89,237,1,0.43442
134.78,261,2,0.68434
93,250,2,0.51766
155.67,233,1,0.61814
108.67,259,2,0.70092
145.22,232,1,0.48297
166.11,264,1,0.70092
150.44,238,1,0.53437
155.67,243,1,0.46624
119.11,268,2,0.51972
108.67,254,2,0.59859
160.89,269,1,0.4856
119.11,269,2,0.70331
103.44,254,2,0.51681
155.67,273,1,0.68197
124.33,229,1,0.68428
103.44,248,2,0.51844
160.89,253,1,0.4666
181.78,271,1,0.43463
93,226,2,0.48535
113.89,247,0,3.281e-06
113.89,247,1,0.98428
166.11,229,1,0.45096
98.222,225,2,0.53432
98.222,252,2,0.55099
129.56,241,1,0.50107
140,257,1,0.51813
155.67,268,1,0.94997
140,238,0,3.544e-06
140,238,1,0.61638
134.78,246,1,0.48428
181.78,259,1,0.53564
113.89,236,2,0.61888
119.11,265,2,0.54963
129.56,242,1,0.7843
108.67,235,1,0.80099
176.56,249,1,0.71756
187,267,1,0.59968
129.56,240,2,0.63413
